Country,Density(P/Km2),Urban population,Population,Armed Forces,GDP,Minimum wage,Labor force participation(%),Unemployment rate,Tax revenue(%),Total tax rate,CPI,CPI Change(%),Doctors/1000,Self-paid Health,Birth Rate,Fertility Rate,Life expectancy,Infant mortality,Maternal mortality ratio,Co2-Emissions,Land Area(Km2),Forested Area(%),Agricultural Land(%),Gasoline Price,Primary educ. enr.(%),Tertiary educ. enr.(%)
Cameroon,56.0,14741256.0,25876380.0,24000.0,38760467033.0,0.35,76.1,3.38,12.8,57.7,118.65,2.5,0.09,69.7,35.39,4.57,58.9,50.6,529.0,8291.0,475440.0,39.3,20.6,1.03,103.4,12.8
Canada,4.0,30628482.0,36991981.0,72000.0,1736425629520.0,9.51,65.1,5.56,12.8,24.5,116.76,1.9,2.61,14.6,10.1,1.5,81.9,4.3,10.0,544894.0,9984670.0,38.2,6.9,0.81,100.9,68.9
Central African Republic,8.0,1982064.0,4745185.0,8000.0,2220307369.0,0.37,72.0,3.68,8.6,73.3,186.86,37.1,0.06,39.6,35.35,4.72,52.8,84.5,829.0,297.0,622984.0,35.6,8.2,1.41,102.0,3.0
Chile,26.0,16610135.0,18952038.0,122000.0,282318159745.0,2.0,62.6,7.09,18.2,34.0,131.91,2.6,2.59,32.2,12.43,1.65,80.0,6.2,13.0,85822.0,756096.0,24.3,21.2,1.03,101.4,88.5
China,153.0,842933962.0,1397715000.0,2695000.0,19910000000000.0,0.87,68.0,4.32,9.4,59.2,125.08,2.9,1.98,32.4,10.9,1.69,77.0,7.4,29.0,9893038.0,9596960.0,22.4,56.2,0.96,100.2,50.6
Colombia,46.0,40827302.0,50339443.0,481000.0,323802808108.0,1.23,68.8,9.71,14.4,71.2,140.95,3.5,2.18,18.3,14.88,1.81,77.1,12.2,83.0,97814.0,1138910.0,52.7,40.3,0.68,114.5,55.3
Republic of the Congo,16.0,3625010.0,5380508.0,12000.0,10820591131.0,0.88,69.4,9.47,9.0,54.3,124.74,2.2,0.12,43.8,32.86,4.43,64.3,36.2,378.0,3282.0,342000.0,65.4,31.1,0.97,106.6,12.7
Costa Rica,100.0,4041885.0,5047561.0,10000.0,61773944174.0,1.84,62.1,11.85,13.6,58.3,128.85,2.1,2.89,21.5,13.97,1.75,80.1,7.6,27.0,8023.0,51100.0,54.6,34.5,0.98,113.3,55.2
Croatia,73.0,2328318.0,4067500.0,18000.0,60415553039.0,2.92,51.2,6.93,22.0,20.5,109.82,0.8,3.0,15.2,9.0,1.47,78.1,4.0,8.0,17488.0,56594.0,34.4,27.6,1.26,96.5,67.9
Czech Republic,139.0,7887156.0,10669709.0,23000.0,246489245495.0,3.0,60.6,1.93,14.9,46.1,116.48,2.8,4.12,14.8,10.7,1.69,79.0,2.7,3.0,102218.0,78867.0,34.6,45.2,1.17,100.7,64.1
Democratic Republic of the Congo,40.0,39095679.0,86790567.0,134000.0,47319624204.0,0.18,63.5,4.24,10.7,50.7,133.85,2.9,0.07,37.4,41.18,5.92,60.4,68.2,473.0,2021.0,2344858.0,67.2,11.6,1.49,108.0,6.6
Dominican Republic,225.0,8787475.0,10738958.0,71000.0,88941298258.0,0.4,64.3,5.84,13.0,48.8,135.5,1.8,1.56,43.7,19.51,2.35,73.9,24.1,95.0,25258.0,48670.0,41.7,48.7,1.07,105.7,59.9
El Salvador,313.0,4694702.0,6453553.0,42000.0,27022640000.0,0.5,59.1,4.11,18.1,36.4,111.23,0.1,1.57,27.9,18.25,2.04,73.1,11.8,46.0,7169.0,21041.0,12.6,76.4,0.83,94.8,29.4
Estonia,31.0,916024.0,1331824.0,6000.0,31386949981.0,3.14,63.6,5.11,20.9,47.8,122.14,2.3,4.48,22.8,10.9,1.59,78.2,2.1,9.0,16590.0,45228.0,51.3,23.1,1.14,97.2,69.6
Fiji,49.0,505048.0,889953.0,4000.0,5535548972.0,1.28,57.6,4.1,24.2,32.1,132.3,1.8,0.84,21.4,21.28,2.77,67.3,21.6,34.0,2046.0,18274.0,55.9,23.3,0.82,106.4,16.1
France,119.0,54123364.0,67059887.0,307000.0,2715518274227.0,11.16,55.1,8.43,24.2,60.7,110.05,1.1,3.27,6.8,11.3,1.88,82.5,3.4,8.0,303276.0,643801.0,31.2,52.4,1.39,102.5,65.6
Gabon,9.0,1949694.0,2172579.0,7000.0,16657960228.0,1.46,52.9,20.0,10.2,47.1,122.19,2.1,0.68,25.9,31.61,3.97,66.2,32.7,252.0,5321.0,267667.0,90.0,20.0,0.92,139.9,8.3
The Gambia,239.0,1453958.0,2347706.0,1000.0,1763819048.0,0.13,59.4,9.06,9.4,48.4,172.73,7.1,0.1,20.3,38.54,5.22,61.7,39.0,597.0,532.0,11300.0,48.4,59.8,1.18,98.0,2.7
Georgia,57.0,2196476.0,3720382.0,26000.0,17743195770.0,0.05,68.3,14.4,21.7,9.9,133.61,4.9,7.12,57.3,13.47,2.06,73.6,8.7,25.0,10128.0,69700.0,40.6,34.5,0.76,98.6,63.9
